pathway	NES	padj	patient_id
Comm_7	2.2130384495459574	2.1895320659878986e-5	TCGA-3C-AAAU
Comm_5	1.9251422082984528	0.00899344699990492	TCGA-3C-AALI
Comm_1	1.8247838046549307	0.00662847362736878	TCGA-3C-AALJ
Comm_5	2.2306597901814267	6.58931268703684e-5	TCGA-3C-AALK
Comm_5	2.1407314636260835	4.804026946593226e-5	TCGA-4H-AAAK
Comm_5	2.2320928613186046	1.0842796316319748e-5	TCGA-5L-AAT0
Comm_5	2.047952627598463	1.2641766025547782e-4	TCGA-5L-AAT1
Comm_5	1.7479174729869178	0.011750745668597217	TCGA-5T-A9QA
Comm_1	1.6746404789992386	0.0441629878617881	TCGA-A1-A0SB
Comm_7	1.9238711577522354	0.00133531051649188	TCGA-A1-A0SD
Comm_5	2.2047750721678643	5.8060342438997055e-6	TCGA-A1-A0SE
Comm_5	2.113511728524258	1.799142812033772e-4	TCGA-A1-A0SF
Comm_5	2.0120307498328214	0.0010204073881440818	TCGA-A1-A0SG
Comm_5	2.23501961278547	3.8456832978011265e-6	TCGA-A1-A0SH
Comm_5	2.0786563173470456	5.652776812994241e-4	TCGA-A1-A0SI
Comm_7	1.9281505331088136	0.0010789953721523544	TCGA-A1-A0SJ
Comm_5	2.0270867456908412	2.3469131494487295e-4	TCGA-A1-A0SM
Comm_1	1.9808385278061083	8.543881074928359e-4	TCGA-A1-A0SN
Comm_2	1.93346223924325	7.763209210611584e-4	TCGA-A1-A0SO
Comm_4	1.8761435521032785	0.006670236176511782	TCGA-A1-A0SP
Comm_5	1.8869747619636876	0.005155735619468688	TCGA-A1-A0SQ
Comm_5	2.216356165317546	3.347873953513236e-5	TCGA-A2-A04N
Comm_2	1.9271146069496292	0.004772349392338945	TCGA-A2-A04P
Comm_2	1.8914589201316268	0.00409080133493118	TCGA-A2-A04Q
Comm_5	1.9182306913776617	0.001448339524965624	TCGA-A2-A04R
Comm_2	1.8976478693014025	0.00707761539623579	TCGA-A2-A04T
Comm_2	1.918895488429529	0.002969786925866391	TCGA-A2-A04U
Comm_3	2.068362949800355	2.396910892171323e-5	TCGA-A2-A04V
Comm_5	1.9316886571600296	0.0012051444111208021	TCGA-A2-A04W
Comm_7	2.0028510269264803	5.838037606225558e-4	TCGA-A2-A04X
Comm_5	1.9378490844472516	0.0022836459015680207	TCGA-A2-A04Y
Comm_3	2.0629752336347034	3.71832057559367e-4	TCGA-A2-A0CK
Comm_5	1.9599030793332228	0.00227797545370771	TCGA-A2-A0CL
Comm_2	1.866892195992606	0.0044106284176114036	TCGA-A2-A0CM
Comm_7	2.129231405652532	2.819239248228767e-4	TCGA-A2-A0CO
Comm_5	2.1399707944278465	1.7905344732202134e-4	TCGA-A2-A0CP
Comm_7	2.211370126419844	1.7585857955781298e-5	TCGA-A2-A0CQ
Comm_5	2.082265389427626	6.681940655919216e-4	TCGA-A2-A0CR
