pathway	NES	padj	patient_id
Comm_7	2.245724850979936	2.5438999809412327e-5	TCGA-3C-AAAU
Comm_5	2.0627842799964373	3.4921374955078973e-4	TCGA-3C-AALI
Comm_7	1.7583219274508262	0.007301837863319643	TCGA-3C-AALJ
Comm_5	2.314161306387717	1.2838605972009927e-6	TCGA-3C-AALK
Comm_5	2.3026043800392877	6.344547292133129e-7	TCGA-4H-AAAK
Comm_5	2.2507835042735977	6.44130106911401e-6	TCGA-5L-AAT0
Comm_5	2.1583269481947505	3.776817780534805e-5	TCGA-5L-AAT1
Comm_5	1.882062484965427	4.6422672330955e-4	TCGA-5T-A9QA
Comm_1	1.744381417223312	0.023170174769849436	TCGA-A1-A0SB
Comm_5	2.105013272837719	9.88062024701328e-5	TCGA-A1-A0SD
Comm_5	2.343243454852785	2.363432437117658e-7	TCGA-A1-A0SE
Comm_5	2.25243769476	3.8059003671342183e-6	TCGA-A1-A0SF
Comm_5	2.0337858018732606	5.767331131749278e-4	TCGA-A1-A0SG
Comm_5	2.2388301096291126	1.1863388523638766e-6	TCGA-A1-A0SH
Comm_5	2.104594006579597	2.7828382632812105e-4	TCGA-A1-A0SI
Comm_5	1.9856924943451606	3.0437289619180736e-4	TCGA-A1-A0SJ
Comm_5	2.135302230376575	2.2452691905420685e-5	TCGA-A1-A0SM
Comm_5	1.927176453927697	5.341971856625606e-4	TCGA-A1-A0SN
Comm_2	2.0651737007591437	1.4964662172920086e-4	TCGA-A1-A0SO
Comm_4	1.8827806538299587	0.0033244417109871464	TCGA-A1-A0SP
Comm_5	1.915470733225422	0.0013151875870201658	TCGA-A1-A0SQ
Comm_5	2.30149558145473	2.339823701908657e-6	TCGA-A2-A04N
Comm_2	2.0332880038944476	0.002044495072587787	TCGA-A2-A04P
Comm_2	1.9690438911420587	0.0033295313722449815	TCGA-A2-A04Q
Comm_7	2.0500103404467156	4.51033366861462e-5	TCGA-A2-A04R
Comm_2	1.9975983188081026	0.0012462402007191622	TCGA-A2-A04T
Comm_2	2.012343595208037	7.679347501935551e-4	TCGA-A2-A04U
Comm_5	2.02075325531819	2.8307231234742307e-5	TCGA-A2-A04V
Comm_5	2.0786361744048882	2.417683201257281e-5	TCGA-A2-A04W
Comm_5	2.1450248527901237	2.841891426924229e-5	TCGA-A2-A04X
Comm_7	2.0653303548045834	7.254005410690033e-4	TCGA-A2-A04Y
Comm_5	2.094405174178016	1.5146618836394044e-4	TCGA-A2-A0CK
Comm_5	2.0921051639923878	3.432988588272223e-4	TCGA-A2-A0CL
Comm_2	1.9921808201712121	3.71618314651183e-4	TCGA-A2-A0CM
Comm_5	2.4128422459319894	2.6003823664709473e-6	TCGA-A2-A0CO
Comm_5	2.228312306151436	1.1058847298491594e-5	TCGA-A2-A0CP
Comm_7	2.3859243341170964	1.6928148961922824e-6	TCGA-A2-A0CQ
Comm_5	2.268187148384372	2.5810635688487403e-5	TCGA-A2-A0CR
Comm_7	2.1138747569879803	2.5276998619138275e-5	TCGA-A2-A0CS
Comm_5	1.8538174402104965	0.0033949933076183494	TCGA-A2-A0CT
Comm_3	2.071629628150909	2.739131983453335e-4	TCGA-A2-A0CU
Comm_5	2.149813784955366	1.8264215997935138e-4	TCGA-A2-A0CV
Comm_7	2.055770624084862	5.947012540296185e-4	TCGA-A2-A0CW
Comm_5	1.979377122598504	3.773195786579017e-4	TCGA-A2-A0CX
Comm_5	1.99114989656446	0.0024603980666197886	TCGA-A2-A0CY
Comm_5	2.076240281267115	4.352176846991375e-4	TCGA-A2-A0CZ
Comm_2	1.7437767080547038	0.016646696230610193	TCGA-A2-A0D0
Comm_5	1.829424298064937	0.006701257711546667	TCGA-A2-A0D1
