pathway	NES	padj	patient_id
Comm_7	2.344824971501861	3.871641680933975e-6	TCGA-3C-AAAU
Comm_5	2.030895918600927	0.001075269726383758	TCGA-3C-AALI
Comm_3	1.827447401991769	0.0021825501812129237	TCGA-3C-AALJ
Comm_5	2.2260501935815347	1.8371713845575994e-5	TCGA-3C-AALK
Comm_5	2.2938465910242485	5.080683002036231e-7	TCGA-4H-AAAK
Comm_5	2.2491519590699913	6.8648663433560246e-6	TCGA-5L-AAT0
Comm_5	2.140344733965516	3.380045969480713e-5	TCGA-5L-AAT1
Comm_5	1.8214006706401042	0.0015713097986122062	TCGA-5T-A9QA
Comm_1	1.6743721334277222	0.040628058205551223	TCGA-A1-A0SB
Comm_5	2.1644296793223585	1.2229565275561087e-4	TCGA-A1-A0SD
Comm_5	2.3102733736951797	2.4792281880330962e-6	TCGA-A1-A0SE
Comm_5	2.1958358005582816	1.8330937333881213e-5	TCGA-A1-A0SF
Comm_3	2.127709773078714	2.5065158192490907e-5	TCGA-A1-A0SG
Comm_5	2.2307433757599466	2.850263790636958e-6	TCGA-A1-A0SH
Comm_5	2.0861538330912466	7.108304061534497e-5	TCGA-A1-A0SI
Comm_3	1.9403571480558264	4.3337791680879477e-4	TCGA-A1-A0SJ
Comm_5	2.08341215403467	4.101228724129277e-4	TCGA-A1-A0SM
Comm_5	1.9309106311030793	8.836860311693417e-4	TCGA-A1-A0SN
Comm_2	2.0625909245803085	1.341404944243788e-4	TCGA-A1-A0SO
Comm_4	1.790773995470879	0.008422678223258335	TCGA-A1-A0SP
Comm_5	1.9119295773759686	0.0011932515386426363	TCGA-A1-A0SQ
Comm_5	2.266491906371052	1.4335315114189639e-5	TCGA-A2-A04N
Comm_2	2.0145879992312445	0.0013402468189795088	TCGA-A2-A04P
Comm_2	1.9460556222991805	0.004292101357768663	TCGA-A2-A04Q
Comm_7	2.051826303982101	7.307134931449911e-5	TCGA-A2-A04R
Comm_2	1.9517149923378565	0.0014241153960805482	TCGA-A2-A04T
Comm_2	2.014251462424324	0.0019012309601245253	TCGA-A2-A04U
Comm_3	2.227068119789143	5.59437538896203e-7	TCGA-A2-A04V
Comm_5	2.0107774680456036	5.709205734004885e-4	TCGA-A2-A04W
Comm_5	2.0769926894244652	9.231929223600866e-5	TCGA-A2-A04X
Comm_3	2.028892126161464	0.0014109207164955172	TCGA-A2-A04Y
Comm_3	2.10284460510991	9.944510424363404e-5	TCGA-A2-A0CK
Comm_5	2.030503529262994	8.894778100709329e-4	TCGA-A2-A0CL
Comm_2	1.970729560547486	0.0011072055515382736	TCGA-A2-A0CM
Comm_7	2.2798109354880185	1.6077095695889647e-5	TCGA-A2-A0CO
Comm_5	2.1740010456378513	3.077753250362664e-5	TCGA-A2-A0CP
Comm_7	2.255061717082676	1.039109506183977e-5	TCGA-A2-A0CQ
Comm_5	2.264100442595453	4.279570370604558e-5	TCGA-A2-A0CR
Comm_7	2.0315995945917162	4.0744472975275713e-5	TCGA-A2-A0CS
Comm_5	1.829788314946034	0.005597164050784426	TCGA-A2-A0CT
Comm_3	2.22969821994671	9.063656141886474e-6	TCGA-A2-A0CU
Comm_3	2.056149175062974	3.52197564119077e-4	TCGA-A2-A0CV
Comm_7	2.0141084401558835	6.235355950077004e-4	TCGA-A2-A0CW
Comm_5	1.9444200227284065	9.906979501513279e-4	TCGA-A2-A0CX
Comm_5	1.9409657855368545	0.002733126781574175	TCGA-A2-A0CY
Comm_5	2.1343207241401805	1.4270141019837626e-4	TCGA-A2-A0CZ
Comm_2	1.6953165293360308	0.03826280521229193	TCGA-A2-A0D0
Comm_5	1.7352972791042867	0.015493098998863513	TCGA-A2-A0D1
Comm_2	1.785316141161695	0.01023730395868013	TCGA-A2-A0D2
Comm_5	2.3594572547694757	3.5888139410805596e-7	TCGA-A2-A0D3
Comm_3	2.177145338729226	2.556069108399954e-5	TCGA-A2-A0D4
Comm_7	2.3030133772773658	4.0323178884295217e-7	TCGA-A2-A0EM
Comm_5	2.423884118046996	3.353905325443509e-7	TCGA-A2-A0EN
Comm_5	2.193780216379882	1.8207188188861508e-5	TCGA-A2-A0EO
Comm_5	2.2478713668474204	2.892608570657561e-5	TCGA-A2-A0EP
Comm_3	1.7122881421051277	0.014492453205983405	TCGA-A2-A0EQ
Comm_3	2.074781931655477	2.389562801171721e-5	TCGA-A2-A0ER
Comm_5	2.3901601597261433	2.180447039178138e-6	TCGA-A2-A0ES
Comm_7	2.145315731287371	1.811729004560754e-5	TCGA-A2-A0ET
Comm_3	2.0292602483680082	3.365276640950693e-4	TCGA-A2-A0EU
Comm_7	2.0923006769954315	8.293847545498624e-5	TCGA-A2-A0EV
Comm_5	2.2400490392627836	1.4281693928726719e-5	TCGA-A2-A0EW
Comm_5	1.9940719110296201	2.1745594987480264e-4	TCGA-A2-A0EX
Comm_5	2.060983092377605	9.452891439191276e-4	TCGA-A2-A0EY
Comm_2	1.957095712235167	0.0032506275526783647	TCGA-A2-A0ST
Comm_7	2.105235258145311	7.553419470910122e-5	TCGA-A2-A0SU
Comm_5	1.973917566072725	5.21315480721071e-4	TCGA-A2-A0SV
Comm_5	1.8979054704477423	8.407906892472253e-4	TCGA-A2-A0SW
Comm_2	1.8799786686297548	0.009364948364267135	TCGA-A2-A0SX
Comm_3	2.1822397355108016	1.2528708227951397e-5	TCGA-A2-A0SY
Comm_5	2.0005827724803402	4.352355622086356e-4	TCGA-A2-A0T1
Comm_4	1.807781139781634	0.017611101344438416	TCGA-A2-A0T2
Comm_7	2.0230372576665188	4.397858456372203e-4	TCGA-A2-A0T3
Comm_7	2.0493370582210475	1.4425979319255378e-4	TCGA-A2-A0T4
Comm_3	2.0101634899363563	1.6805476645802463e-4	TCGA-A2-A0T5
Comm_5	2.2600296194417875	5.1146693922396615e-6	TCGA-A2-A0T6
Comm_5	2.0889912950859504	4.510247617317974e-4	TCGA-A2-A0T7
Comm_7	2.631893568863631	9.510549234568514e-11	TCGA-A2-A0YC
Comm_5	2.258117650248043	3.510465474413261e-5	TCGA-A2-A0YD
Comm_2	1.755638953085548	0.01937501448678378	TCGA-A2-A0YE
Comm_7	2.2373547761809776	1.922732297167226e-5	TCGA-A2-A0YF
Comm_7	2.0619297196255495	1.3879864922989406e-4	TCGA-A2-A0YG
Comm_7	2.008856692461873	4.112208998190702e-4	TCGA-A2-A0YH
Comm_7	2.3102767768048373	8.856045036165814e-6	TCGA-A2-A0YI
Comm_4	1.655903560347982	0.02416172809150209	TCGA-A2-A0YJ
Comm_5	2.163707439456141	1.465664459143436e-4	TCGA-A2-A0YK
Comm_5	2.1000806229883056	4.078929864763973e-4	TCGA-A2-A0YL
Comm_2	1.9181136046951681	0.005511328055168524	TCGA-A2-A0YM
Comm_7	1.8859262931081777	0.002063617159764524	TCGA-A2-A0YT
Comm_3	2.117115042546423	9.887603183767381e-5	TCGA-A2-A1FV
Comm_3	2.097845633367898	3.564850302174957e-5	TCGA-A2-A1FW
Comm_7	2.3532826817709123	4.676078070827237e-7	TCGA-A2-A1FX
Comm_5	2.1210976953529257	7.340273865379389e-5	TCGA-A2-A1FZ
Comm_3	2.388337884153623	2.2125087632047513e-7	TCGA-A2-A1G0
Comm_1	2.0033979963431636	0.0019932037272049844	TCGA-A2-A1G1
Comm_7	2.1314131908139795	6.16616736582912e-5	TCGA-A2-A1G4
Comm_5	2.3296412456481135	6.624635827131276e-6	TCGA-A2-A1G6
Comm_3	2.2340697526808624	7.688308544183988e-6	TCGA-A2-A259
Comm_5	2.3208420094892155	1.540765179171424e-5	TCGA-A2-A25A
Comm_7	2.059361864890278	2.1429562660130522e-4	TCGA-A2-A25B
Comm_7	2.2472661415368593	8.844915119917694e-5	TCGA-A2-A25C
Comm_5	1.959989416122574	0.001415200183223718	TCGA-A2-A25D
Comm_7	2.0423083126347628	2.688877916932974e-4	TCGA-A2-A25E
Comm_5	2.1341311912787657	1.6670027883885618e-4	TCGA-A2-A3KC
