pathway	NES	padj	patient_id
Comm_7	2.152232889092789	4.3725966082765904e-4	TCGA-3C-AAAU
Comm_5	1.862337795503876	0.01267261391232151	TCGA-3C-AALI
Comm_7	1.7468876134800588	0.028520056809311342	TCGA-3C-AALJ
Comm_5	2.0847952506785483	2.442817509937314e-4	TCGA-3C-AALK
Comm_5	2.0782972459967706	1.9121357423634153e-4	TCGA-4H-AAAK
Comm_5	2.0429473520685746	4.998651149341787e-4	TCGA-5L-AAT0
Comm_5	1.9372996436470127	0.0025433007279229065	TCGA-5L-AAT1
Comm_5	1.683902006759055	0.029267467026935754	TCGA-5T-A9QA
Comm_7	2.0637693203259766	6.974440879422463e-4	TCGA-A1-A0SD
Comm_5	2.1149747326719703	3.2340236318513114e-4	TCGA-A1-A0SE
Comm_5	1.9794188999551676	8.885092195830057e-4	TCGA-A1-A0SF
Comm_5	2.0479465809310495	4.1732393434041313e-4	TCGA-A1-A0SG
Comm_5	2.0441653918047136	4.899429875134621e-4	TCGA-A1-A0SH
Comm_5	2.0198072783171117	6.833877031832205e-4	TCGA-A1-A0SI
Comm_5	2.0428656223969712	5.034355800408513e-4	TCGA-A1-A0SJ
Comm_5	1.887052174737751	0.0032885712587048055	TCGA-A1-A0SM
Comm_7	1.783609962559585	0.010491904340270286	TCGA-A1-A0SN
Comm_2	1.8482741369678495	0.00451306881956883	TCGA-A1-A0SO
Comm_5	1.7884158670206747	0.011893914681702743	TCGA-A1-A0SQ
Comm_5	2.2546677210946537	1.7698155899304807e-5	TCGA-A2-A04N
Comm_2	1.8599807054959823	0.01893787887531093	TCGA-A2-A04P
Comm_2	1.869122144354014	0.008110651736431008	TCGA-A2-A04Q
Comm_7	1.9230857437209719	0.0019381031434000386	TCGA-A2-A04R
Comm_2	1.7886107748290978	0.02311406588852291	TCGA-A2-A04T
Comm_2	1.867382427500623	0.009771740640611658	TCGA-A2-A04U
Comm_5	2.0726609540080276	6.43242428972644e-5	TCGA-A2-A04V
Comm_5	1.7911431564426157	0.009298351124353886	TCGA-A2-A04W
Comm_7	1.988776656170575	3.8438272010907096e-4	TCGA-A2-A04X
Comm_7	1.883848646250968	0.006474374383595175	TCGA-A2-A04Y
Comm_7	1.9856764414705417	0.0014000230442631763	TCGA-A2-A0CK
Comm_5	1.9104551197011628	0.005051672780530543	TCGA-A2-A0CL
Comm_2	1.81930829442083	0.010720751860999052	TCGA-A2-A0CM
Comm_7	2.2091684782034635	2.9792242135092252e-5	TCGA-A2-A0CO
Comm_5	2.071359621695097	7.008083151991774e-4	TCGA-A2-A0CP
Comm_5	2.21480662291539	1.924985865832051e-5	TCGA-A2-A0CQ
Comm_5	2.0465581564395334	7.811237731768149e-4	TCGA-A2-A0CR
Comm_7	2.063896980255891	1.0835907044931152e-4	TCGA-A2-A0CS
Comm_5	1.789281062033033	0.018835471469431028	TCGA-A2-A0CT
Comm_7	1.9007681354520705	0.0028691941707725743	TCGA-A2-A0CU
Comm_5	2.0408904121598743	0.0013916181627136627	TCGA-A2-A0CV
Comm_7	1.7621732857452652	0.007422778838120242	TCGA-A2-A0CW
Comm_5	1.7687126034152572	0.02061516586644969	TCGA-A2-A0CX
Comm_7	1.8405604883074747	0.012357084890425939	TCGA-A2-A0CY
Comm_5	2.211047008714059	5.042005190582836e-5	TCGA-A2-A0CZ
Comm_7	1.8472796338322872	0.0055514471966426875	TCGA-A2-A0D1
Comm_2	1.8727374631019809	0.0020210319329832566	TCGA-A2-A0D2
Comm_5	2.2623476250378602	3.539286893049933e-5	TCGA-A2-A0D3
Comm_7	1.9457759146498925	0.0012083367808979773	TCGA-A2-A0D4
Comm_7	2.164501829484946	6.584859832648881e-6	TCGA-A2-A0EM
Comm_5	2.19184677243772	1.2425607595276016e-4	TCGA-A2-A0EN
Comm_5	2.0388091875407746	0.00103075564440825	TCGA-A2-A0EO
Comm_5	2.1539786201101316	3.7442699369497567e-4	TCGA-A2-A0EP
Comm_3	1.8693321941956609	0.0016740555666529078	TCGA-A2-A0ER
Comm_5	2.1233759460874504	1.68098743177716e-4	TCGA-A2-A0ES
Comm_7	1.9951520096005506	7.49297149612915e-4	TCGA-A2-A0ET
Comm_5	1.8656211398882259	0.003867457225316236	TCGA-A2-A0EU
Comm_5	1.848455219816916	0.004006068046130328	TCGA-A2-A0EV
Comm_7	2.105686507417252	2.613234952291577e-4	TCGA-A2-A0EW
Comm_5	1.9499025997881252	7.353927007726457e-4	TCGA-A2-A0EX
Comm_4	1.9624015118429217	0.0016736075180892587	TCGA-A2-A0EY
Comm_2	1.7918270616944818	0.021423937649107033	TCGA-A2-A0ST
Comm_7	2.0143635684142893	6.194800389388045e-4	TCGA-A2-A0SU
Comm_5	1.864020131018823	0.008542701446210402	TCGA-A2-A0SV
Comm_7	1.8058359914105737	0.006402741637043929	TCGA-A2-A0SW
Comm_2	1.8304550154346177	0.015519223590285174	TCGA-A2-A0SX
Comm_5	2.0634081998153193	5.205110053168186e-4	TCGA-A2-A0SY
Comm_5	1.8293502519206808	0.011352738422156563	TCGA-A2-A0T1
Comm_2	1.7327772172722697	0.03377847638167291	TCGA-A2-A0T2
Comm_7	1.897638533240675	0.006188129994992131	TCGA-A2-A0T3
Comm_7	2.1057824177988542	2.1781344308746862e-4	TCGA-A2-A0T4
Comm_5	2.1341758473488848	1.6556834574238814e-4	TCGA-A2-A0T5
Comm_5	2.142315876989616	7.139396162322836e-5	TCGA-A2-A0T6
Comm_5	1.9447921479118533	0.0024577338984877782	TCGA-A2-A0T7
