pathway	NES	padj	patient_id
Comm_7	2.3140008068675124	3.062554500318099e-6	TCGA-3C-AAAU
Comm_5	2.0826410500300305	5.810634670835219e-4	TCGA-3C-AALI
Comm_7	1.8121887195227124	0.0046926212062897675	TCGA-3C-AALJ
Comm_5	2.3682326402347633	8.637172081702557e-7	TCGA-3C-AALK
Comm_5	2.273198010763831	7.926830328236609e-7	TCGA-4H-AAAK
Comm_5	2.2743710419792316	6.920501317929609e-6	TCGA-5L-AAT0
Comm_5	2.1607841512379515	1.2438344848068399e-5	TCGA-5L-AAT1
Comm_5	1.8155700819702973	0.0019636471231456263	TCGA-5T-A9QA
Comm_1	1.6975222678860342	0.048118404596974924	TCGA-A1-A0SB
Comm_5	2.147258990262667	7.732934206870964e-5	TCGA-A1-A0SD
Comm_5	2.255688344723565	2.0020566393887706e-6	TCGA-A1-A0SE
Comm_5	2.2717426090665818	4.455779943669451e-6	TCGA-A1-A0SF
Comm_5	2.098618895601665	8.729446932973249e-5	TCGA-A1-A0SG
Comm_5	2.1731138958558422	4.380850908742274e-6	TCGA-A1-A0SH
Comm_5	2.184505270754268	1.2552160690481549e-4	TCGA-A1-A0SI
Comm_5	2.1007505569128093	1.1541898584191412e-4	TCGA-A1-A0SJ
Comm_2	1.6548180648709154	0.04719534944585181	TCGA-A1-A0SK
Comm_5	2.070236171365456	1.0511722337613268e-4	TCGA-A1-A0SM
Comm_5	2.0127793087236916	1.713202030237701e-4	TCGA-A1-A0SN
Comm_2	2.1132394285797624	1.8726383184805773e-4	TCGA-A1-A0SO
Comm_2	1.8915672680805713	0.0037286919834613546	TCGA-A1-A0SP
Comm_5	1.8712227627257412	0.0016891553656341535	TCGA-A1-A0SQ
Comm_5	2.364877538881137	9.66589703154067e-7	TCGA-A2-A04N
Comm_2	1.9906586631558663	8.480371382388787e-4	TCGA-A2-A04P
Comm_2	1.9463992712605669	0.002814870650607828	TCGA-A2-A04Q
Comm_7	2.0861541184316437	8.697709590102963e-6	TCGA-A2-A04R
Comm_2	1.986248154763901	8.742365766512465e-4	TCGA-A2-A04T
Comm_2	2.032033586129316	4.884933668443381e-4	TCGA-A2-A04U
Comm_5	2.2076800785538424	1.6600425024318962e-6	TCGA-A2-A04V
Comm_5	2.0673564606466766	6.793474229365107e-5	TCGA-A2-A04W
Comm_5	2.217522629938664	5.469932496725127e-6	TCGA-A2-A04X
Comm_5	2.0512532977911726	9.187856342609674e-4	TCGA-A2-A04Y
Comm_5	2.059978762377613	4.0738526298219057e-4	TCGA-A2-A0CK
Comm_5	2.020253232735829	8.175177739553778e-4	TCGA-A2-A0CL
Comm_2	2.022602224700431	2.736477297813605e-4	TCGA-A2-A0CM
Comm_5	2.355843511808048	1.731434247436213e-6	TCGA-A2-A0CO
Comm_5	2.202582250996565	5.627615284835421e-6	TCGA-A2-A0CP
Comm_7	2.431597764383073	1.5248528811447604e-7	TCGA-A2-A0CQ
Comm_5	2.298940233157022	2.1446379060224857e-5	TCGA-A2-A0CR
Comm_5	2.118001699140063	2.0564723171117893e-6	TCGA-A2-A0CS
Comm_5	1.9032255354566359	0.0029043444964254777	TCGA-A2-A0CT
Comm_3	2.313300555670054	1.5576324430309463e-6	TCGA-A2-A0CU
Comm_5	2.181203367279212	1.319542733699385e-4	TCGA-A2-A0CV
Comm_7	2.0669297143125895	3.368970153059688e-4	TCGA-A2-A0CW
Comm_5	1.9561780754985965	0.0012200352677949888	TCGA-A2-A0CX
Comm_5	1.9784587631239803	0.002097767746789229	TCGA-A2-A0CY
Comm_5	2.2204622477514047	2.166463756394164e-5	TCGA-A2-A0CZ
Comm_2	1.7165654237620855	0.028885525598154944	TCGA-A2-A0D0
