pathway	NES	padj	patient_id
Comm_7	2.3701832478196674	2.5945662364970504e-6	TCGA-3C-AAAU
Comm_5	2.046596049650258	4.336222824860411e-4	TCGA-3C-AALI
Comm_3	1.7991499980955061	0.0067271725261692375	TCGA-3C-AALJ
Comm_5	2.322380946361229	1.2307262186073406e-6	TCGA-3C-AALK
Comm_5	2.3007599690402594	6.150909823592192e-7	TCGA-4H-AAAK
Comm_5	2.2899969586450113	2.434956256103934e-6	TCGA-5L-AAT0
Comm_5	2.1460491217224766	1.9885911069015217e-5	TCGA-5L-AAT1
Comm_5	1.9108571152349296	2.3316050008653173e-4	TCGA-5T-A9QA
Comm_1	1.736089549225946	0.029397229043202983	TCGA-A1-A0SB
Comm_5	2.0769729264242525	1.9221086250614702e-4	TCGA-A1-A0SD
Comm_5	2.3439744059610903	7.894539301941186e-8	TCGA-A1-A0SE
Comm_5	2.3038625946780313	2.204374695968847e-6	TCGA-A1-A0SF
Comm_3	2.0926796119823656	1.654657308029679e-4	TCGA-A1-A0SG
Comm_5	2.2184209886697004	1.9230115278848577e-6	TCGA-A1-A0SH
Comm_5	2.091377865133211	1.1289968557901193e-4	TCGA-A1-A0SI
Comm_5	2.080331509570667	1.824968962447883e-4	TCGA-A1-A0SJ
Comm_5	2.0483728167510096	6.151585109410047e-5	TCGA-A1-A0SM
Comm_5	1.9743257168179766	9.71058563474319e-4	TCGA-A1-A0SN
Comm_2	2.070755771317936	1.1939729900458846e-4	TCGA-A1-A0SO
Comm_4	1.9115700023343307	0.0037336503504606378	TCGA-A1-A0SP
Comm_5	1.901628763971223	0.0012596310805085948	TCGA-A1-A0SQ
Comm_5	2.3475723069651466	1.084125242968703e-5	TCGA-A2-A04N
Comm_2	1.9878113161907212	0.0010507102662552538	TCGA-A2-A04P
Comm_2	1.9593670558814837	0.003305383293657787	TCGA-A2-A04Q
Comm_7	2.1906963394151	1.629253398200294e-6	TCGA-A2-A04R
Comm_2	1.9706909799838013	0.0018857597506377127	TCGA-A2-A04T
Comm_2	1.9882801068371172	6.076432444850552e-4	TCGA-A2-A04U
Comm_3	2.1834763221502898	1.572360306612261e-6	TCGA-A2-A04V
Comm_5	2.0122740511116044	9.829085159729895e-5	TCGA-A2-A04W
Comm_5	2.178753349288132	2.72141207589982e-5	TCGA-A2-A04X
Comm_5	1.9942775754649418	9.335205403387536e-4	TCGA-A2-A04Y
Comm_3	2.1164532301662144	6.317635845224002e-5	TCGA-A2-A0CK
Comm_5	2.0528349320696293	5.064501643524732e-4	TCGA-A2-A0CL
Comm_2	2.048742213781166	1.5578994718472416e-4	TCGA-A2-A0CM
Comm_5	2.3476813743073235	2.0323477032920527e-6	TCGA-A2-A0CO
Comm_5	2.2133548206139606	3.6519639448934275e-6	TCGA-A2-A0CP
Comm_7	2.415648781104826	4.1994245625821334e-7	TCGA-A2-A0CQ
Comm_5	2.3023435049073178	3.0533583775917323e-5	TCGA-A2-A0CR
Comm_7	2.0800015171401363	1.745820210438321e-5	TCGA-A2-A0CS
Comm_5	1.8370118637916828	0.003372684717140664	TCGA-A2-A0CT
Comm_3	2.26547736518118	2.3634244782345068e-6	TCGA-A2-A0CU
Comm_5	2.1896213390309676	6.301524287674955e-5	TCGA-A2-A0CV
Comm_7	2.036367137163927	0.0010558988468787884	TCGA-A2-A0CW
Comm_5	1.9992341763713015	4.677416594422881e-4	TCGA-A2-A0CX
Comm_5	2.0254313504388106	7.148517029451527e-4	TCGA-A2-A0CY
Comm_5	2.0869612000780022	4.070659281973499e-4	TCGA-A2-A0CZ
Comm_4	1.7238640825167002	0.02653509417692608	TCGA-A2-A0D0
Comm_5	1.7918360045389266	0.008222562246368345	TCGA-A2-A0D1
Comm_2	1.95842823793962	0.0014288112669746703	TCGA-A2-A0D2
Comm_5	2.356479626670702	8.686237016933093e-8	TCGA-A2-A0D3
Comm_3	2.1201680940676217	4.746185890569616e-5	TCGA-A2-A0D4
Comm_7	2.357163047726429	5.8827514748613456e-8	TCGA-A2-A0EM
Comm_5	2.3616823191113956	6.621046997443994e-7	TCGA-A2-A0EN
Comm_5	2.2118012678915306	5.099402609244405e-6	TCGA-A2-A0EO
Comm_5	2.2394991205658172	7.31056781178963e-5	TCGA-A2-A0EP
Comm_5	1.7093393752482124	0.019407883896773337	TCGA-A2-A0EQ
Comm_7	2.1761523073128384	7.469100256325191e-6	TCGA-A2-A0ER
Comm_5	2.451316784460752	1.6138075718180977e-7	TCGA-A2-A0ES
Comm_7	2.0868863120617394	8.554433249859645e-5	TCGA-A2-A0ET
Comm_3	2.007011492162002	2.7714905299482904e-4	TCGA-A2-A0EU
Comm_7	2.0757882410979396	1.5369154878244518e-4	TCGA-A2-A0EV
Comm_5	2.2463676162168555	1.4740710628013883e-5	TCGA-A2-A0EW
